product_id,store_id,name,category,brand,unit,price,quantity_on_hand,low_stock_threshold,aliases
1,1,Madhur Sugar 1kg,Staples,Madhur,kg,45.00,50.000,10.000,"sugar|sakhar|cheeni|madhur sugar"
2,1,Fortune Refined Sunflower Oil 1L,Oil,Fortune,packet,145.00,25.000,5.000,"fortune oil|fortune sunflower oil|tel|fortune tel"
3,1,Saffola Gold Edible Oil 1L,Oil,Saffola,packet,170.00,20.000,5.000,"saffola oil|saffola gold|saffola tel"
4,1,Dhara Mustard Oil 1L,Oil,Dhara,packet,155.00,15.000,5.000,"dhara oil|dhara sarson tel|sarson tel|dhara tel"
5,1,Parle-G Biscuit 100g,Snacks,Parle,packet,10.00,100.000,20.000,"parle g|parle-g|parleg|biscuit|parle g biscuit"
6,1,Ashirvaad Whole Wheat Aata 5kg,Flour,Ashirvaad,packet,260.00,30.000,5.000,"aata|ashirvaad aata|gehun ka aata|ashirvaad wheat flour"
7,1,Tata Salt 1kg,Staples,Tata,packet,28.00,40.000,10.000,"tata salt|namak|tata namak|salt"
8,1,Amul Butter 100g,Dairy,Amul,packet,58.00,15.000,5.000,"amul butter|makkhan|butter|amul makkhan"
9,1,Amul Taaza Milk 500ml,Dairy,Amul,packet,27.00,30.000,10.000,"doodh|milk|amul milk|amul doodh"
10,1,Toor Dal 1kg,Pulses,Generic,kg,160.00,25.000,5.000,"toor dal|arhar dal|tuvar dal|varan dal"
11,1,Moong Dal 1kg,Pulses,Generic,kg,135.00,20.000,5.000,"moong dal|mung dal|yellow dal"
12,1,Basmati Rice 1kg,Rice,India Gate,kg,110.00,35.000,8.000,"rice|chawal|basmati rice|basmati chawal"
13,1,Red Onion 1kg,Vegetables,Fresh,kg,35.00,40.000,10.000,"kanda|pyaz|onion|red onion"
14,1,Potato 1kg,Vegetables,Fresh,kg,30.00,50.000,10.000,"batata|aalu|potato|aloo"
15,1,Tomato 1kg,Vegetables,Fresh,kg,40.00,30.000,8.000,"tamatar|tomato|tomatose"
16,1,Maggie 2-Minute Noodles 70g,Snacks,Maggi,packet,14.00,80.000,15.000,"maggi|noodles|maggie noodles|maggi packet"
17,1,Brooke Bond Red Label Tea 250g,Beverages,Red Label,packet,140.00,20.000,5.000,"chai|chai patti|red label tea|tea"
18,1,Nescafé Classic Coffee 50g,Beverages,Nescafe,box,185.00,12.000,3.000,"coffee|nescafe|nescafe coffee|nescafe classic"
19,1,Surf Excel Quick Wash Detergent 1kg,Household,Surf Excel,packet,150.00,18.000,5.000,"surf excel|detergent|nirma|kapde dhone ka powder"
20,1,Dettol Bathing Soap 75g,Personal Care,Dettol,pc,38.00,45.000,10.000,"dettol|soap|sabun|dettol sabun"
21,1,Green Chilli 250g,Vegetables,Fresh,packet,20.00,2.000,5.000,"hari mirchi|green chilli|hirvi mirchi|mirchi"
22,1,Garlic 250g,Vegetables,Fresh,packet,45.00,10.000,3.000,"lahsun|lasun|garlic"
